Primary Cell Line Name,Compound,IC50 (uM)
LC-1/sq-SF,PLX4720,8
LCLC-103H,PLX4720,8
LN-229,PLX4720,8
LOU-NH91,PLX4720,8
LOX IMVI,PLX4720,8
LP-1,PLX4720,8
LS123,PLX4720,8
LS411N,PLX4720,0.925284624
LS513,PLX4720,8
LU99,PLX4720,4.744394779
LUDLU-1,PLX4720,8
M059J,PLX4720,8
Malme-3M,PLX4720,0.285528094
MB 157,PLX4720,8
MC116,PLX4720,8
MCAS,PLX4720,8
MCF7,PLX4720,8
MDA-MB-157,PLX4720,8
MDA-MB-175-VII,PLX4720,8
MDA-MB-415,PLX4720,8
MDA-MB-435S,PLX4720,2.312842846
MDA-MB-436,PLX4720,8
MDA-MB-453,PLX4720,8
MDA-MB-468,PLX4720,8
MEC-1,PLX4720,8
MEG-01,PLX4720,8
MEL-HO,PLX4720,0.312976211
MES-SA,PLX4720,8
MeWo,PLX4720,8
MFE-280,PLX4720,8
MFE-296,PLX4720,8
MFE-319,PLX4720,8
MG-63,PLX4720,8
MHH-ES-1,PLX4720,8
MIA PaCa-2,PLX4720,8
Mino,PLX4720,8
MJ,PLX4720,8
MKN-45,PLX4720,8
MKN7,PLX4720,8
MKN74,PLX4720,8
MOG-G-CCM,PLX4720,8
MOLP-8,PLX4720,8
MOLT-16,PLX4720,8
MONO-MAC-1,PLX4720,8
MOR/CPR,PLX4720,8
MPP 89,PLX4720,8
MSTO-211H,PLX4720,8
NCI-H1048,PLX4720,8
NCI-H1092,PLX4720,8
NCI-H1155,PLX4720,8
NCI-H1184,PLX4720,8
NCI-H1299,PLX4720,8
NCI-H1339,PLX4720,8
NCI-H1341,PLX4720,8
NCI-H1355,PLX4720,8
NCI-H1373,PLX4720,8
NCI-H1563,PLX4720,8
NCI-H1568,PLX4720,4.620815754
NCI-H1573,PLX4720,8
NCI-H1581,PLX4720,8
NCI-H1648,PLX4720,5.766373158
NCI-H1650,PLX4720,8
NCI-H1651,PLX4720,8
NCI-H1666,PLX4720,8
NCI-H1693,PLX4720,8
NCI-H1694,PLX4720,8
NCI-H1703,PLX4720,8
NCI-H1792,PLX4720,8
NCI-H1793,PLX4720,8
NCI-H1869,PLX4720,8
NCI-H1915,PLX4720,8
NCI-H1944,PLX4720,8
NCI-H1975,PLX4720,8
NCI-H2009,PLX4720,8
NCI-H2023,PLX4720,8
NCI-H2030,PLX4720,8
NCI-H2052,PLX4720,8
NCI-H2085,PLX4720,8
NCI-H2087,PLX4720,5.211354733
NCI-H211,PLX4720,8
NCI-H2122,PLX4720,8
NCI-H2170,PLX4720,8
NCI-H2172,PLX4720,8
NCI-H2228,PLX4720,8
NCI-H226,PLX4720,8
NCI-H2286,PLX4720,6.033330441
NCI-H23,PLX4720,0.211737986
NCI-H2444,PLX4720,8
NCI-H2452,PLX4720,8
NCI-H28,PLX4720,8
NCI-H322,PLX4720,8
NCI-H3255,PLX4720,8
NCI-H358,PLX4720,5.514954567
NCI-H441,PLX4720,8
NCI-H460,PLX4720,8
NCI-H520,PLX4720,8
NCI-H522,PLX4720,8
NCI-H647,PLX4720,8
NCI-H650,PLX4720,8
NCI-H661,PLX4720,8
NCI-H727,PLX4720,8
NCI-H747,PLX4720,8
NCI-H810,PLX4720,8
NCI-N87,PLX4720,8
NCO2,PLX4720,0.880665138
NIH:OVCAR-3,PLX4720,8
NUGC-3,PLX4720,8
NUGC-4,PLX4720,8
OC 314,PLX4720,8
OC 315,PLX4720,8
OC 316,PLX4720,8
OCI-AML2,PLX4720,8
OCI-AML5,PLX4720,8
OCI-LY10,PLX4720,8
OCUM-1,PLX4720,8
OE21,PLX4720,8
OE33,PLX4720,8
ONCO-DG-1,PLX4720,8
ONS-76,PLX4720,8
OPM-2,PLX4720,8
OV-90,PLX4720,8
OVCAR-4,PLX4720,8
OVCAR-8,PLX4720,8
OVMANA,PLX4720,8
OVSAHO,PLX4720,8
P12-ICHIKAWA,PLX4720,8
P31/FUJ,PLX4720,8
P3HR-1,PLX4720,8
Panc 02.03,PLX4720,8
Panc 03.27,PLX4720,8
Panc 04.03,PLX4720,8
Panc 10.05,PLX4720,8
PA-TU-8902,PLX4720,8
PC-14,PLX4720,8
PC-3,PLX4720,8
Pfeiffer,PLX4720,8
PK-1,PLX4720,8
PK-45H,PLX4720,8
PK-59,PLX4720,8
PL45,PLX4720,8
PLC/PRF/5,PLX4720,8
PSN1,PLX4720,8
QGP-1,PLX4720,8
Raji,PLX4720,8
RD,PLX4720,8
Reh,PLX4720,8
RERF-GC-1B,PLX4720,8
RERF-LC-AI,PLX4720,8
RERF-LC-MS,PLX4720,8
RKN,PLX4720,8
RKO,PLX4720,8
RL95-2,PLX4720,8
RPMI-7951,PLX4720,8
RPMI-8402,PLX4720,8
RT-112,PLX4720,8
RT4,PLX4720,8
RVH-421,PLX4720,0.770638406
Saos-2,PLX4720,8
SBC-5,PLX4720,8
SCaBER,PLX4720,8
SCC-25,PLX4720,8
SCC-9,PLX4720,8
SF126,PLX4720,8
SF-295,PLX4720,8
SF8657,PLX4720,8
SH-10-TC,PLX4720,8
SHP-77,PLX4720,8
SIG-M5,PLX4720,0.033569854
SIMA,PLX4720,8
SJRH30,PLX4720,8
SJSA-1,PLX4720,8
SK-BR-3,PLX4720,8
SK-CO-1,PLX4720,8
SK-ES-1,PLX4720,8
SK-HEP-1,PLX4720,8
SK-LMS-1,PLX4720,6.450375557
SK-LU-1,PLX4720,8
SK-MEL-2,PLX4720,2.531646013
SK-MEL-24,PLX4720,5.15450716
SK-MEL-30,PLX4720,8
SK-MEL-31,PLX4720,8
SK-MEL-5,PLX4720,0.369111031
SK-MES-1,PLX4720,6.108966351
SK-MM-2,PLX4720,8
SK-N-AS,PLX4720,8
SK-N-BE(2),PLX4720,8
SK-N-DZ,PLX4720,8
SK-N-FI,PLX4720,8
SK-N-SH,PLX4720,6.900910854
SK-OV-3,PLX4720,8
SNG-M,PLX4720,8
SNU-1,PLX4720,8
SNU-16,PLX4720,8
SNU-182,PLX4720,8
SNU-387,PLX4720,8
SNU-398,PLX4720,8
SNU-423,PLX4720,8
SNU-449,PLX4720,8
SNU-475,PLX4720,8
SNU-C2A,PLX4720,8
SNU-C2B,PLX4720,8
Sq-1,PLX4720,8
SU.86.86,PLX4720,8
SU-DHL-10,PLX4720,8
SU-DHL-4,PLX4720,3.607176882
SU-DHL-6,PLX4720,8
SU-DHL-8,PLX4720,8
SUIT-2,PLX4720,8
SUP-M2,PLX4720,8
SUP-T1,PLX4720,8
SW 1088,PLX4720,6.770390034
SW 1271,PLX4720,8
SW 1353,PLX4720,8
SW1417,PLX4720,2.278774738
SW 1573,PLX4720,8
SW 1990,PLX4720,8
SW403,PLX4720,8
SW48,PLX4720,8
SW480,PLX4720,8
SW579,PLX4720,8
SW620,PLX4720,8
SW 780,PLX4720,8
SW 900,PLX4720,8
T24,PLX4720,4.326249123
T3M-10,PLX4720,8
T-47D,PLX4720,8
T84,PLX4720,8
T98G,PLX4720,8
TC-71,PLX4720,8
TCCSUP,PLX4720,8
TE-1,PLX4720,8
TE-15,PLX4720,8
TE-5,PLX4720,8
TE 617.T,PLX4720,8
TE-9,PLX4720,8
TEN,PLX4720,8
Toledo,PLX4720,8
TOV-112D,PLX4720,8
TOV-21G,PLX4720,3.959041595
TT2609-C02,PLX4720,8
TYK-nu,PLX4720,8
U-118 MG,PLX4720,8
U-2 OS,PLX4720,8
U-87 MG,PLX4720,8
U-937,PLX4720,8
UACC-257,PLX4720,1.064142346
UACC-62,PLX4720,0.249700621
UACC-812,PLX4720,8
UM-UC-3,PLX4720,8
VMRC-LCD,PLX4720,8
VMRC-RCW,PLX4720,8
VMRC-RCZ,PLX4720,8
WM-115,PLX4720,8
WM1799,PLX4720,1.226397991
WM-266-4,PLX4720,1.578695059
WM-793,PLX4720,8
WM-88,PLX4720,0.204083994
WM-983B,PLX4720,0.51123476
YKG1,PLX4720,8
ZR-75-1,PLX4720,8
ZR-75-30,PLX4720,8
1321N1,RAF265,8
22Rv1,RAF265,5.365866661
5637,RAF265,1.064665556
639-V,RAF265,2.779998302
697,RAF265,0.183057606
769-P,RAF265,1.062345743
786-O,RAF265,6.630919456
8305C,RAF265,1.020218134
8505C,RAF265,1.416327953
A172,RAF265,3.651217461
A-204,RAF265,0.331275523
A2058,RAF265,5.51097393
A-253,RAF265,2.616527319
A2780,RAF265,1.250309587
A-375,RAF265,0.622677207
A549,RAF265,0.99483645
A-673,RAF265,0.809691668
ACHN,RAF265,0.31764549
ALL-SIL,RAF265,1.196254373
AMO-1,RAF265,2.381819248
AN3 CA,RAF265,4.145510197
AsPC-1,RAF265,0.936409533
AU565,RAF265,3.295681238
AZ-521,RAF265,0.898972094
B-CPAP,RAF265,0.715583742
BDCM,RAF265,7.147446156
BFTC-909,RAF265,8
BGC-823,RAF265,8
BL-41,RAF265,7.08644104
BL-70,RAF265,5.181260586
BT-20,RAF265,8
BT-474,RAF265,8
BT-549,RAF265,1.155879736
C2BBe1,RAF265,8
C32,RAF265,8
C3A,RAF265,3.510200024
Caki-2,RAF265,0.915781975
CAL 27,RAF265,2.656460762
CAL-78,RAF265,8
CAL-85-1,RAF265,0.650694251
Calu-1,RAF265,1.676192641
Calu-3,RAF265,8
CAMA-1,RAF265,6.142372131
Capan-2,RAF265,1.161611546
CAS-1,RAF265,8
CCK-81,RAF265,8
CHL-1,RAF265,0.267100275
CHP-212,RAF265,3.013770342
CI-1,RAF265,0.208464014
CMK-86,RAF265,8
COLO 201,RAF265,0.435073406
COLO 205,RAF265,0.606281757
COLO-320,RAF265,0.268899381
COLO-677,RAF265,2.923123121
COLO-678,RAF265,6.978841305
COLO-679,RAF265,0.66438055
COLO-699,RAF265,0.878534675
COR-L105,RAF265,5.65053606
COR-L23,RAF265,6.441958427
COV318,RAF265,8
COV504,RAF265,1.805347562
Daoy,RAF265,8
DBTRG-05MG,RAF265,0.286468297
DEL,RAF265,0.389995694
Detroit 562,RAF265,6.785070896
DK-MG,RAF265,8
DMS 114,RAF265,3.514462471
DOHH-2,RAF265,1.142137165
DOV13,RAF265,1.947503448
DU 145,RAF265,0.306863368
EB1,RAF265,1.369006345
EB2,RAF265,8
EBC-1,RAF265,8
EFE-184,RAF265,6.336449623
EFM-19,RAF265,2.197538853
EFO-21,RAF265,1.678150773
EFO-27,RAF265,0.525237381
EM-2,RAF265,0.514338434
EN,RAF265,8
ES-2,RAF265,1.106144905
F-36P,RAF265,0.082872331
FaDu,RAF265,1.42867434
FU97,RAF265,1.539584875
FU-OV-1,RAF265,3.839668036
G-361,RAF265,0.565265238
G-401,RAF265,1.351166487
G-402,RAF265,1.357991695
GB-1,RAF265,0.289774537
GCIY,RAF265,6.792892456
GCT,RAF265,0.325869828
GLC-82,RAF265,6.013436317
GMS-10,RAF265,5.228353977
GRANTA-519,RAF265,8
H4,RAF265,8
HARA,RAF265,2.832459927
HCC1187,RAF265,7.012154579
HCC-15,RAF265,5.655051231
HCC1569,RAF265,8
HCC1806,RAF265,1.085390449
HCC1954,RAF265,4.060050011
HCC2935,RAF265,8
HCC4006,RAF265,2.484289169
HCC-44,RAF265,3.138940334
HCC-56,RAF265,8
HCC70,RAF265,6.826366901
HCC-78,RAF265,8
HCT 116,RAF265,1.833464026
HCT-15,RAF265,0.599751115
HDQ-P1,RAF265,8
HEC-151,RAF265,0.339518785
HEC-1-A,RAF265,2.656991482
HEC-1-B,RAF265,8
HEC-251,RAF265,0.953919411
HEC-265,RAF265,0.601892412
HEC-59,RAF265,0.591289163
HEC-6,RAF265,8
HEL 92.1.7,RAF265,6.223293304
Hep 3B2.1-7,RAF265,0.600824634
Hep G2,RAF265,2.774068356
Hey-A8,RAF265,0.317133546
HGC-27,RAF265,2.308405876
HH,RAF265,8
HLE,RAF265,8
HLF,RAF265,6.235446453
HMC-1-8,RAF265,6.624199867
HMCB,RAF265,0.214396611
HOS,RAF265,8
HPAC,RAF265,2.475223064
HPAF-II,RAF265,8
Hs 229.T,RAF265,3.363966703
Hs 294T,RAF265,2.904636383
Hs 578T,RAF265,5.510804653
Hs 683,RAF265,8
Hs 695T,RAF265,8
Hs 729,RAF265,8
Hs 739.T,RAF265,8
Hs 746T,RAF265,3.237396417
Hs 766T,RAF265,1.110060096
Hs 840.T,RAF265,0.12682493
Hs 852.T,RAF265,8
Hs 895.T,RAF265,0.167939842
Hs 936.T,RAF265,8
Hs 939.T,RAF265,3.448097467
Hs 944.T,RAF265,0.352730155
HSC-2,RAF265,8
HT,RAF265,8
HT-1080,RAF265,1.074540615
HT-1197,RAF265,0.946009994
HT-1376,RAF265,1.756084442
HT-144,RAF265,0.340082556
HT-29,RAF265,0.81959039
HuCCT1,RAF265,3.917720079
huH-1,RAF265,1.040796995
HUP-T3,RAF265,8
HUP-T4,RAF265,1.958483934
HuT 78,RAF265,2.111756802
IA-LM,RAF265,2.578817844
IGR-37,RAF265,1.198535204
IGR-39,RAF265,4.404100418
IGROV1,RAF265,8
IM95,RAF265,8
IMR-32,RAF265,1.696007133
IPC-298,RAF265,0.125808135
IST-MES1,RAF265,8
IST-MES2,RAF265,0.147910878
J82,RAF265,8
JHH-2,RAF265,8
JHH-4,RAF265,8
JHH-5,RAF265,2.70650816
JHH-6,RAF265,8
JHOS-2,RAF265,8
JHOS-4,RAF265,3.111861944
JM1,RAF265,8
JMSU-1,RAF265,0.20764482
JURKAT,RAF265,0.356609374
JVM-3,RAF265,0.130046681
K029AX,RAF265,0.70665884
KALS-1,RAF265,0.290483177
KARPAS-299,RAF265,4.437853336
KARPAS-422,RAF265,0.873407781
KARPAS-620,RAF265,4.18068409
KASUMI-2,RAF265,1.183841467
KCL-22,RAF265,1.44283402
KE-39,RAF265,6.979484558
KE-97,RAF265,0.285471082
KG-1,RAF265,0.434892982
KHM-1B,RAF265,8
KLE,RAF265,8
KMBC-2,RAF265,4.104511738
KMM-1,RAF265,4.318281651
KMRC-1,RAF265,8
KMRC-2,RAF265,8
KMS-11,RAF265,8
KMS-12-BM,RAF265,0.485123303
KMS-26,RAF265,8
KMS-34,RAF265,0.897491329
KNS-42,RAF265,5.805480957
KNS-60,RAF265,8
KNS-62,RAF265,8
KNS-81,RAF265,2.720138073
KO52,RAF265,0.252842605
KP-1N,RAF265,6.094344139
KP-1NL,RAF265,6.067720413
KP-2,RAF265,4.278925419
KP-3,RAF265,2.484365463
KP4,RAF265,2.569406748
KP-N-SI9s,RAF265,1.886896968
KU812,RAF265,1.104939103
KURAMOCHI,RAF265,7.276958942
KYSE-150,RAF265,6.57502985
KYSE-30,RAF265,8
KYSE-410,RAF265,8
KYSE-520,RAF265,4.369664192
L3.3,RAF265,1.904193521
L-363,RAF265,0.395638943
L-428,RAF265,0.398291618
LC-1/sq-SF,RAF265,7.371242046
LCLC-103H,RAF265,3.897011757
LN-18,RAF265,0.980935752
LN-229,RAF265,3.563280106
LOU-NH91,RAF265,8
LOX IMVI,RAF265,2.708920717
LP-1,RAF265,8
LS123,RAF265,8
LS411N,RAF265,1.90278995
LS513,RAF265,1.083319849
LU99,RAF265,0.401862353
LUDLU-1,RAF265,3.11822629
M059J,RAF265,3.912788153
Malme-3M,RAF265,0.381781071
MB 157,RAF265,4.426551342
MC116,RAF265,8
MCAS,RAF265,7.480409145
MCF7,RAF265,2.531646013
MDA-MB-157,RAF265,8
MDA-MB-175-VII,RAF265,8
MDA-MB-415,RAF265,1.784172038
MDA-MB-435S,RAF265,2.911158323
MDA-MB-436,RAF265,2.568143845
MDA-MB-453,RAF265,2.731821299
MDA-MB-468,RAF265,1.028384566
MEC-1,RAF265,3.309684038
MEG-01,RAF265,1.133756638
MEL-HO,RAF265,1.183477879
MES-SA,RAF265,6.301795006
MeWo,RAF265,8
MFE-280,RAF265,1.383289038
MFE-296,RAF265,0.706745684
MG-63,RAF265,8
MHH-ES-1,RAF265,0.279620409
MIA PaCa-2,RAF265,2.609743357
Mino,RAF265,0.338929951
MJ,RAF265,1.04153255
MKN-45,RAF265,0.26934588
MKN7,RAF265,8
MKN74,RAF265,2.246209145
MOG-G-CCM,RAF265,8
MOLP-8,RAF265,4.962056637
MOLT-16,RAF265,0.300394267
MONO-MAC-1,RAF265,0.181400388
MPP 89,RAF265,8
MSTO-211H,RAF265,0.946562409
NCI-H1048,RAF265,2.34043479
NCI-H1092,RAF265,8
NCI-H1184,RAF265,8
NCI-H1299,RAF265,0.721200943
NCI-H1339,RAF265,4.130254745
NCI-H1341,RAF265,2.281787395
NCI-H1355,RAF265,0.690816343
NCI-H1373,RAF265,8
NCI-H1563,RAF265,8
NCI-H1568,RAF265,2.201728821
NCI-H1573,RAF265,6.622673512
NCI-H1581,RAF265,2.617692771
NCI-H1648,RAF265,0.959371567
NCI-H1650,RAF265,1.616140127
NCI-H1651,RAF265,8
NCI-H1666,RAF265,0.436365217
NCI-H1693,RAF265,6.105265931
NCI-H1694,RAF265,8
NCI-H1792,RAF265,0.671955466
NCI-H1793,RAF265,2.839692116
NCI-H1869,RAF265,8
NCI-H1915,RAF265,0.22340402
NCI-H1944,RAF265,8
NCI-H1975,RAF265,1.421275377
NCI-H2009,RAF265,3.924828053
NCI-H2023,RAF265,8
NCI-H2030,RAF265,0.587612808
NCI-H2052,RAF265,0.695971787
NCI-H2085,RAF265,8
NCI-H2087,RAF265,2.668485641
NCI-H211,RAF265,4.229259491
NCI-H2122,RAF265,0.468769699
NCI-H2170,RAF265,6.187165737
NCI-H2172,RAF265,8
NCI-H2228,RAF265,1.803573489
NCI-H226,RAF265,3.296744585
NCI-H2286,RAF265,0.183091342
NCI-H23,RAF265,1.733596206
NCI-H2444,RAF265,5.748154163
NCI-H2452,RAF265,0.23321937
NCI-H28,RAF265,3.970735788
NCI-H322,RAF265,1.794867158
NCI-H3255,RAF265,8
NCI-H358,RAF265,1.64696753
NCI-H441,RAF265,6.149358749
NCI-H460,RAF265,7.260767937
NCI-H520,RAF265,2.380209684
NCI-H522,RAF265,8
NCI-H647,RAF265,8
NCI-H650,RAF265,2.341225863
NCI-H661,RAF265,8
NCI-H727,RAF265,8
NCI-H747,RAF265,8
NCI-H810,RAF265,8
NCI-N87,RAF265,3.795567036
NCO2,RAF265,1.006410956
NIH:OVCAR-3,RAF265,2.117441654
NUGC-3,RAF265,1.555441022
NUGC-4,RAF265,6.783924103
OC 314,RAF265,3.672142506
OC 315,RAF265,2.388634443
OC 316,RAF265,3.029598951
OCI-AML2,RAF265,1.844623208
OCI-AML5,RAF265,2.643190622
OCI-LY10,RAF265,5.9916749
OCUM-1,RAF265,8
OE21,RAF265,1.359014273
OE33,RAF265,1.985962749
ONCO-DG-1,RAF265,1.681892991
ONS-76,RAF265,4.173048496
OPM-2,RAF265,8
OV-90,RAF265,1.341343045
OVCAR-4,RAF265,3.775214434
OVCAR-8,RAF265,2.696382523
OVMANA,RAF265,8
OVSAHO,RAF265,6.512304306
OVTOKO,RAF265,2.080970526
P12-ICHIKAWA,RAF265,1.327465534
P31/FUJ,RAF265,0.602206886
P3HR-1,RAF265,8
Panc 02.03,RAF265,4.425939083
Panc 03.27,RAF265,1.437148929
Panc 04.03,RAF265,3.236628056
Panc 10.05,RAF265,4.709105968
PC-3,RAF265,8
Pfeiffer,RAF265,0.225188822
PK-1,RAF265,2.141583681
PK-45H,RAF265,2.775219202
PK-59,RAF265,3.104699612
PL45,RAF265,8
PLC/PRF/5,RAF265,3.215368032
Raji,RAF265,8
RD,RAF265,1.458881021
RERF-GC-1B,RAF265,8
RERF-LC-AI,RAF265,8
RERF-LC-MS,RAF265,7.764565945
RKN,RAF265,6.40741539
RKO,RAF265,1.532623649
RL95-2,RAF265,0.296583891
RPMI-7951,RAF265,2.405388594
RPMI-8402,RAF265,3.299328327
RT-112,RAF265,3.112339973
RT4,RAF265,1.708937882
RVH-421,RAF265,2.665822268
Saos-2,RAF265,8
SBC-5,RAF265,5.900244713
SCaBER,RAF265,1.022791624
SCC-25,RAF265,1.441438317
SCC-9,RAF265,2.39256382
SF126,RAF265,2.164703608
SF-295,RAF265,2.269133568
SF8657,RAF265,0.5038746
SH-10-TC,RAF265,5.334225178
SHP-77,RAF265,8
SIG-M5,RAF265,0.157103524
SIMA,RAF265,3.245390654
SJRH30,RAF265,3.009560108
SJSA-1,RAF265,3.515434504
SK-BR-3,RAF265,2.961314678
SK-CO-1,RAF265,5.156407833
SK-ES-1,RAF265,0.096142791
SK-HEP-1,RAF265,0.173974246
SK-LU-1,RAF265,0.875099957
SK-MEL-2,RAF265,3.493094444
SK-MEL-24,RAF265,6.284200668
SK-MEL-30,RAF265,1.200746655
SK-MEL-31,RAF265,8
SK-MEL-5,RAF265,0.523400962
SK-MM-2,RAF265,0.185942814
SK-N-BE(2),RAF265,6.289893955
SK-N-DZ,RAF265,8
SK-N-FI,RAF265,1.829606764
SK-N-SH,RAF265,1.577458739
SK-OV-3,RAF265,0.24052918
SNG-M,RAF265,0.670264721
SNU-1,RAF265,1.618575096
SNU-16,RAF265,0.73549968
SNU-182,RAF265,8
SNU-398,RAF265,3.988280773
SNU-423,RAF265,7.459294796
SNU-449,RAF265,7.266570091
SNU-475,RAF265,1.217294843
SNU-C2A,RAF265,8
SNU-C2B,RAF265,8
SU.86.86,RAF265,3.908943176
SU-DHL-10,RAF265,5.109413147
SU-DHL-4,RAF265,3.263538599
SU-DHL-6,RAF265,3.805667639
SU-DHL-8,RAF265,2.263980389
SUIT-2,RAF265,1.740614414
SUP-M2,RAF265,2.444148315
SUP-T1,RAF265,8
SW 1088,RAF265,0.92136991
SW 1271,RAF265,3.491538525
SW 1353,RAF265,8
SW1417,RAF265,0.202369855
SW 1990,RAF265,2.464826345
SW403,RAF265,3.408127546
SW48,RAF265,3.640408278
SW480,RAF265,3.060894728
SW579,RAF265,2.799239397
SW620,RAF265,3.33095336
SW 780,RAF265,6.271085262
SW 900,RAF265,8
T24,RAF265,0.187229782
T3M-10,RAF265,2.203894615
T-47D,RAF265,6.936302662
T84,RAF265,8
T98G,RAF265,2.500907421
TC-71,RAF265,8
TCCSUP,RAF265,8
TE 617.T,RAF265,0.900769174
TE-9,RAF265,3.309023142
TEN,RAF265,8
Toledo,RAF265,8
TOV-112D,RAF265,2.930091619
TOV-21G,RAF265,0.117165424
TT2609-C02,RAF265,0.211189896
TYK-nu,RAF265,8
U-118 MG,RAF265,8
U-2 OS,RAF265,3.86731267
U-87 MG,RAF265,3.274888515
U-937,RAF265,8
UACC-257,RAF265,2.716838837
UACC-62,RAF265,1.064698339
UACC-812,RAF265,8
UM-UC-3,RAF265,8
VMRC-LCD,RAF265,8
VMRC-RCW,RAF265,8
VMRC-RCZ,RAF265,5.138931751
WM-115,RAF265,2.809600731
WM1799,RAF265,0.206871137
WM-266-4,RAF265,1.220496655
WM-793,RAF265,0.838038385
WM-88,RAF265,0.311537147
WM-983B,RAF265,0.366968244
ZR-75-1,RAF265,2.870313284
ZR-75-30,RAF265,3.597822189
1321N1,TAE684,3.001203775
22Rv1,TAE684,4.14404583
42-MG-BA,TAE684,2.827590942
5637,TAE684,2.473094463
639-V,TAE684,2.217580795
697,TAE684,0.840449274
769-P,TAE684,6.65909338
786-O,TAE684,8
8305C,TAE684,2.532259464
8505C,TAE684,6.509103775
8-MG-BA,TAE684,2.379003525
A172,TAE684,2.530820608
A-204,TAE684,2.659318924
A2058,TAE684,4.927721977
A-253,TAE684,8
A2780,TAE684,1.494494081
A-375,TAE684,1.073880553
A549,TAE684,1.637758732
A-673,TAE684,1.243872643
ACHN,TAE684,2.960450411
ALL-SIL,TAE684,0.92615211
AMO-1,TAE684,0.385257065
AN3 CA,TAE684,8
AsPC-1,TAE684,1.224158168
AU565,TAE684,8
AZ-521,TAE684,0.913940907
B-CPAP,TAE684,1.781927466
BDCM,TAE684,8
BFTC-909,TAE684,7.229048729
BGC-823,TAE684,0.940893948
BL-41,TAE684,8
BL-70,TAE684,8
BT-20,TAE684,7.626374722
BT-474,TAE684,8
BT-549,TAE684,5.395706654
BxPC-3,TAE684,5.210793972
C2BBe1,TAE684,1.563514233
C32,TAE684,8
C3A,TAE684,8
Caki-2,TAE684,8
CAL-12T,TAE684,0.690349579
CAL 27,TAE684,3.846338987
CAL-78,TAE684,3.534169436
CAL-85-1,TAE684,8
Calu-1,TAE684,6.918637276
Calu-3,TAE684,5.718297482
Calu-6,TAE684,0.77653265
CAMA-1,TAE684,8
Capan-2,TAE684,0.671418905
CAS-1,TAE684,4.411480904
CCK-81,TAE684,2.169864178
CHL-1,TAE684,3.202846527
CHP-212,TAE684,2.156605005
CI-1,TAE684,8
CMK-86,TAE684,0.806377411
COLO 201,TAE684,1.793434024
COLO 205,TAE684,0.85494256
COLO-320,TAE684,0.329955041
COLO-677,TAE684,2.054227352
COLO-678,TAE684,4.441536427
COLO-679,TAE684,8
COLO-699,TAE684,1.170873761
COLO 741,TAE684,8
COR-L105,TAE684,8
COR-L23,TAE684,7.618295193
COV318,TAE684,4.677239895
COV504,TAE684,2.071975231
Daoy,TAE684,8
DBTRG-05MG,TAE684,3.781657457
DEL,TAE684,0.009624531
Detroit 562,TAE684,8
DK-MG,TAE684,8
DMS 114,TAE684,0.894316435
DOHH-2,TAE684,0.768781009
DOV13,TAE684,5.57474947
DU 145,TAE684,2.689102173
DV-90,TAE684,1.319583046
EB1,TAE684,8
EB2,TAE684,8
EBC-1,TAE684,2.244243145
EFE-184,TAE684,8
EFM-19,TAE684,8
EFO-21,TAE684,1.474155068
EFO-27,TAE684,8
EM-2,TAE684,1.351062655
EN,TAE684,8
ES-2,TAE684,8
ESS-1,TAE684,2.685304403
F-36P,TAE684,0.419441044
FaDu,TAE684,5.832924843
FU97,TAE684,2.849743128
FU-OV-1,TAE684,2.28670001
G-361,TAE684,4.944403648
G-401,TAE684,1.472729087
G-402,TAE684,8
GAMG,TAE684,8
GB-1,TAE684,2.040796757
GCIY,TAE684,2.915857792
GCT,TAE684,1.617829323
GI-1,TAE684,3.301204205
GLC-82,TAE684,1.466498137
GMS-10,TAE684,6.281594753
GRANTA-519,TAE684,0.91481179
H4,TAE684,2.550216913
HARA,TAE684,3.312074423
HCC1187,TAE684,8
HCC1395,TAE684,8
HCC-15,TAE684,3.222835064
HCC1569,TAE684,8
HCC1806,TAE684,2.626514673
HCC1954,TAE684,7.747289658
HCC2935,TAE684,3.912908316
HCC4006,TAE684,3.425027609
HCC-44,TAE684,5.976231575
HCC-56,TAE684,6.227405548
HCC70,TAE684,6.094072261
HCC-78,TAE684,8
HCC827,TAE684,0.036157422
HCT 116,TAE684,4.750010014
HCT-15,TAE684,5.418049335
HD-MY-Z,TAE684,2.796273947
HDQ-P1,TAE684,0.60489908
HEC-151,TAE684,1.77215457
HEC-1-A,TAE684,8
HEC-1-B,TAE684,3.221070013
HEC-251,TAE684,3.615829468
HEC-265,TAE684,8
HEC-59,TAE684,2.747899294
HEC-6,TAE684,8
HEL 92.1.7,TAE684,8
Hep 3B2.1-7,TAE684,1.113664031
Hep G2,TAE684,0.550195515
Hey-A8,TAE684,4.445700169
HGC-27,TAE684,1.122888923
HH,TAE684,7.147410516
HLE,TAE684,5.970817566
HLF,TAE684,5.347187996
HMC-1-8,TAE684,3.662677526
HMCB,TAE684,1.607622266
HOS,TAE684,8
HPAC,TAE684,2.2234478
HPAF-II,TAE684,8
Hs 229.T,TAE684,3.954421997
Hs 294T,TAE684,5.729112625
Hs 578T,TAE684,8
Hs 683,TAE684,3.532052755
Hs 695T,TAE684,8
Hs 729,TAE684,8
Hs 739.T,TAE684,1.955537677
Hs 746T,TAE684,5.439565659
Hs 766T,TAE684,5.293654442
Hs 840.T,TAE684,1.955447555
Hs 852.T,TAE684,0.677948415
Hs 895.T,TAE684,1.475446463
Hs 936.T,TAE684,8
Hs 939.T,TAE684,8
